id,style,level,topic,rouge1_t0,rouge1_t07,rougeL_t0,rougeL_t07,kw_recall_t0,kw_recall_t07,len_ratio_t0,len_ratio_t07,t0_t07_overlap,bert_f1_t0,bert_f1_t07,bert_f1_recon_vs_output
1,Openness,High,Relationship,0.274,0.2553,0.1781,0.1844,0.1852,0.1852,1.7255,1.6078,0.8158,0.8696,0.8707,0.8682
2,Openness,High,Relationship,0.3937,0.3182,0.315,0.2273,0.25,0.25,1.2778,1.3704,0.3929,0.9081,0.8896,0.847
3,Openness,Low,Relationship,0.2836,0.3411,0.1791,0.2016,0.1176,0.1176,1.4528,1.3585,0.5733,0.8866,0.887,0.8803
4,Openness,Low,Relationship,0.375,0.3172,0.1944,0.1655,0.3158,0.2632,1.7059,1.7059,0.3889,0.8892,0.885,0.8715
5,Openness,High,Relationship,0.359,0.3621,0.188,0.1897,0.2,0.2,1.6047,1.5814,0.9811,0.8872,0.8872,0.8721
6,Conscientiousness,High,Relationship,0.2785,0.3288,0.1392,0.2192,0.2,0.24,1.6842,1.4561,0.3434,0.8718,0.8831,0.8599
7,Conscientiousness,High,Relationship,0.3134,0.3411,0.209,0.2171,0.2174,0.2609,1.625,1.5208,0.2887,0.8807,0.8848,0.8622
8,Conscientiousness,Low,Relationship,0.4274,0.3717,0.2393,0.2655,0.2778,0.2222,1.1961,1.1373,0.7857,0.896,0.8957,0.8638
9,Conscientiousness,Low,Relationship,0.2698,0.2817,0.1905,0.169,0.1111,0.2222,1.3529,1.6863,0.3158,0.8806,0.884,0.8672
10,Conscientiousness,High,Relationship,0.3636,0.4143,0.2121,0.2,0.2857,0.2857,1.4808,1.6154,0.427,0.8999,0.8972,0.8668
11,Openness,High,Workplace Sabotage,0.3559,0.3359,0.1864,0.1679,0.24,0.24,1.4255,1.6809,0.7612,0.8766,0.8743,0.8522
12,Openness,High,Workplace Sabotage,0.3768,0.3607,0.2464,0.2131,0.2941,0.2353,1.9333,1.6222,0.3587,0.9108,0.9018,0.8624
13,Openness,Low,Workplace Sabotage,0.3158,0.339,0.2406,0.2373,0.3158,0.3158,1.8636,1.5455,0.4805,0.8861,0.8871,0.8715
14,Openness,Low,Workplace Sabotage,0.2958,0.3077,0.169,0.1678,0.2222,0.2222,1.8723,1.8511,0.8194,0.8808,0.8803,0.8826
15,Openness,High,Workplace Sabotage,0.3231,0.3206,0.2,0.2137,0.3158,0.1579,1.7556,1.8,0.3232,0.8676,0.8633,0.8591
16,Conscientiousness,High,Workplace Sabotage,0.2537,0.3036,0.1642,0.1429,0.1739,0.3043,1.625,1.2083,0.3095,0.8833,0.8924,0.865
17,Conscientiousness,High,Workplace Sabotage,0.3759,0.3333,0.2256,0.254,0.2222,0.2222,1.5294,1.3725,0.5479,0.8857,0.8876,0.8649
18,Conscientiousness,Low,Workplace Sabotage,0.3559,0.3826,0.2203,0.2261,0.3,0.25,1.4348,1.4348,0.3544,0.8972,0.8921,0.8716
19,Conscientiousness,Low,Workplace Sabotage,0.3492,0.3175,0.2063,0.2222,0.1053,0.1053,1.7273,1.75,0.6812,0.8824,0.884,0.8617
20,Conscientiousness,High,Workplace Sabotage,0.2143,0.2406,0.1286,0.1504,0.25,0.2,2.1667,1.9762,0.4222,0.8823,0.8811,0.8612
21,Openness,High,Friendship & Social Circles,0.3577,0.2685,0.2602,0.2148,0.2778,0.2222,1.6818,2.2727,0.641,0.8994,0.8868,0.8715
22,Openness,High,Friendship & Social Circles,0.366,0.292,0.1961,0.1752,0.4444,0.2222,2.3182,1.9545,0.3762,0.8869,0.8737,0.8599
23,Openness,Low,Friendship & Social Circles,0.2807,0.339,0.193,0.2034,0.25,0.15,1.5952,1.6905,0.369,0.886,0.8841,0.869
24,Openness,Low,Friendship & Social Circles,0.5345,0.4274,0.3621,0.2564,0.7778,0.6111,1.5111,1.5111,0.4103,0.9243,0.9129,0.8806
25,Openness,High,Friendship & Social Circles,0.2927,0.3609,0.1789,0.2105,0.1579,0.2105,1.4255,1.6596,0.5493,0.8845,0.8898,0.8635
26,Conscientiousness,High,Friendship & Social Circles,0.4298,0.3423,0.1818,0.1622,0.5,0.4444,1.6591,1.4091,0.378,0.9034,0.903,0.8616
27,Conscientiousness,High,Friendship & Social Circles,0.48,0.4538,0.336,0.3193,0.4118,0.3529,1.44,1.34,0.8305,0.9051,0.9038,0.8667
28,Conscientiousness,Low,Friendship & Social Circles,0.314,0.3193,0.2149,0.2185,0.0952,0.0952,1.6364,1.5909,0.9492,0.8839,0.8844,0.866
29,Conscientiousness,Low,Friendship & Social Circles,0.2714,0.2748,0.2143,0.2137,0.2,0.15,1.9545,1.75,0.575,0.8842,0.8799,0.8799
30,Conscientiousness,High,Friendship & Social Circles,0.416,0.4296,0.288,0.2519,0.3182,0.4091,1.42,1.6,0.3596,0.9013,0.8999,0.8617
31,Openness,High,Digital & Social Media,0.2931,0.3235,0.1897,0.1912,0.2381,0.2857,1.6667,2.1429,0.3804,0.8877,0.8855,0.8663
32,Openness,High,Digital & Social Media,0.2787,0.352,0.1803,0.272,0.2222,0.3333,2.0,2.0256,0.28,0.8811,0.8884,0.8539
33,Openness,Low,Digital & Social Media,0.3438,0.3492,0.1875,0.1905,0.25,0.3,1.7333,1.6444,0.3444,0.8813,0.8906,0.8608
34,Openness,Low,Digital & Social Media,0.3333,0.3651,0.2727,0.2857,0.3571,0.3571,2.0488,1.9268,0.8382,0.8842,0.8849,0.8751
